date_id,product_dateSeen,date_Added,date_Updated
1,2017-03-30T06:00:00Z//2017-03-10T22:00:00Z//2017-03-04T10:00:00Z//2017-03-03T14:00:00Z,2015-04-13T12:00:51Z,2018-05-12T18:59:48Z
2,2017-12-14T06:00:00Z,2015-05-18T14:14:56Z,2018-06-13T19:39:02Z
3,2017-09-08T05:00:00Z,2015-05-18T14:14:56Z,2018-06-13T19:39:02Z
4,2017-10-10T05:00:00Z,2015-05-18T14:14:56Z,2018-06-13T19:39:02Z
5,2017-08-28T07:00:00Z,2015-05-18T14:14:56Z,2018-06-13T19:39:02Z
6,2017-10-24T04:00:00Z,2015-05-18T14:14:56Z,2018-06-13T19:39:02Z
7,2017-08-15T15:00:00Z,2015-05-18T14:14:56Z,2018-06-13T19:39:02Z
8,2017-08-12T09:00:00Z,2015-05-18T14:14:56Z,2018-06-13T19:39:02Z
9,2017-09-14T21:00:00Z,2015-05-18T14:14:56Z,2018-06-13T19:39:02Z
10,2018-01-21T08:00:00Z,2015-05-18T14:14:56Z,2018-06-13T19:39:02Z
11,2018-05-26T07:00:00Z,2015-05-18T14:14:56Z,2018-06-13T19:39:02Z
12,2017-07-23T00:00:00Z,2015-05-18T14:14:56Z,2018-06-13T19:39:02Z
13,2017-08-01T03:00:00Z//2017-07-26T15:00:00Z//2017-05-31T19:00:00Z//2017-05-31T18:00:00Z//2017-05-09T04:00:00Z//2017-05-01T05:00:00Z//2017-05-18T03:00:00Z//2017-04-04T04:00:00Z//2017-03-30T02:00:00Z//2017-03-10T14:00:00Z//2017-03-04T03:00:00Z//2017-03-03T14:00:00Z,2015-05-18T14:14:56Z,2018-06-13T19:39:02Z
14,2018-05-26T16:00:00Z,2015-03-18T12:41:16Z,2018-06-13T19:38:40Z
15,2015-03-25T22:00:00Z,2015-03-18T12:41:16Z,2018-06-13T19:38:40Z
16,2014-10-27T00:00:00Z,2015-03-18T12:41:16Z,2018-06-13T19:38:40Z
17,2015-04-23T09:00:00Z,2015-03-18T12:41:16Z,2018-06-13T19:38:40Z
18,2017-10-10T12:00:00Z//2017-09-12T05:00:00Z//2017-09-06T20:00:00Z//2017-08-30T09:00:00Z//2017-09-18T08:00:00Z//2017-08-23T04:00:00Z//2017-07-31T23:00:00Z//2017-08-01T07:00:00Z//2017-07-26T21:00:00Z//2017-06-29T22:00:00Z//2017-06-01T18:00:00Z//2017-06-01T20:00:00Z//2017-05-09T11:00:00Z//2017-05-01T18:00:00Z//2017-03-30T10:00:00Z//2017-03-15T15:00:00Z//2017-03-10T23:00:00Z//2017-03-04T11:00:00Z//2016-11-08T00:00:00Z,2015-03-18T12:41:16Z,2018-06-13T19:38:40Z
19,2017-08-01T00:00:00Z//2017-08-01T17:00:00Z//2017-07-26T21:00:00Z//2017-05-01T15:00:00Z//2017-05-09T15:00:00Z//2017-05-18T08:00:00Z//2017-03-30T10:00:00Z//2017-03-15T17:00:00Z//2017-03-10T22:00:00Z//2017-03-04T10:00:00Z,2015-10-17T19:24:08Z,2018-05-29T13:41:23Z
20,2017-06-01T17:00:00Z//2017-06-01T19:00:00Z,2015-10-17T19:24:08Z,2018-05-29T13:41:23Z
21,2018-05-26T06:00:00Z,2015-10-17T19:24:08Z,2018-05-29T13:41:23Z
22,2017-10-10T20:00:00Z//2017-09-18T13:00:00Z//2017-08-30T07:00:00Z,2015-10-17T19:24:08Z,2018-05-29T13:41:23Z
23,2018-01-18T12:00:00Z,2015-07-03T18:36:05Z,2018-07-26T15:55:37Z
24,2015-07-02T05:00:00Z,2015-07-03T18:36:05Z,2018-07-26T15:55:37Z
25,2017-10-10T19:00:00Z//2017-09-06T17:00:00Z//2017-09-18T14:00:00Z//2017-08-30T07:00:00Z//2017-08-12T09:00:00Z//2017-08-01T05:00:00Z//2017-07-26T15:00:00Z//2017-05-31T19:00:00Z//2017-05-09T04:00:00Z//2017-05-01T05:00:00Z//2017-05-18T03:00:00Z//2017-04-04T04:00:00Z//2017-03-30T02:00:00Z//2017-03-10T15:00:00Z//2017-03-04T03:00:00Z//2017-03-03T14:00:00Z,2015-07-03T18:36:05Z,2018-07-26T15:55:37Z
26,2018-07-25T22:00:00Z//2017-12-06T21:00:00Z//2017-12-04T20:00:00Z//2018-05-04T10:00:00Z//2018-01-09T20:00:00Z//2017-08-22T04:00:00Z//2017-12-06T22:00:00Z//2017-08-19T02:00:00Z//2017-08-29T04:00:00Z//2017-11-18T10:00:00Z//2018-06-01T09:00:00Z,2015-07-03T18:36:05Z,2018-07-26T15:55:37Z
