merchant_id,product_merchant
1,Bestbuy
2,Walmart
3,California Electronics
4,Wayfair - Walmart.com
5,Growkart
6,bhphotovideo
7,bargainbrokers
8,Beach Audio Inc
9,Alex Magic Electronics
10,UnbeatableSale
11,your-best-store
12,BuyVPC
13,tube_works
14,DigitalShopper
15,gabrians
16,discountparts99
17,Car Audio Closeout
18,Audiosavings
19,sonicelectronix
20,Hotelectronics
21,accessorynet
22,OliveElect// LLC
23,gadget-town
24,HappEshopper
25,closeoutmartdeals
26,kmaacp
27,AMI Ventures Inc
28,uShopMall
29,antonline
30,Wayfair - Bestbuy.com
31,District Camera
32,goldstar_tech
33,buydig
34,Adorama Camera
35,Wholesale Connection
36,Beach Camera
37,SharpPrices
38,Technology Galaxy
39,Hippo-Deals
40,OutletPC
41,wwstereo
42,BrownBearTech
43,Aztek Computers
44,TigerDirect - Walmart.com
45,DealClock
46,DiamondBuy
47,Hisense USA Corporation
48,My Goods
49,focuscamera
50,Direct Home Supplies
51,MA Trade LLC
52,jbtoolsales02
53,turtlebeach_inc
54,mnmdiscount1
55,Satellite Radio Superstore
56,extremenetwork
57,underground_bargains
58,vipoutlet
59,HookedOnTronics
60,Malelo and Company
61,brake2buyllc
62,jama2363
63,videojam-half
64,Mwave
65,BulkBuys
66,Focus Camera
67,evergreenpoint
68,antonline.com
69,lucky-31067
70,4theloveofphones
71,duck1648
72,HPP Enterprises
73,CarAudioDistributors
74,Circuit City - Walmart.com
75,OneCall
76,Wayfair
77,autosounds_warehouse
78,Lastoftheloot
79,evolving-technologies
80,United Liquidators
81,refurbforless
82,secondipity
83,Sound of Tri-State
84,Best Buy
85,Runtechmedia
86,123Stores - Bestbuy.com
87,claimthis
88,Tech For Less Inc
89,wholesale_connection
90,gear4less
91,Electronic Express
92,nothingbutsavings
93,north_woods_trading
94,Norman Camera Company
95,tri-state-camera
96,6ave
97,17th St Photo Supply Inc
98,redtagcamera
99,World Class Sales
100,Computer Brain
101,tbdeals
102,19th Hole Deals
103,Tri State Camera
104,dr.pepper357
105,4surpluscity
106,hotdeals4u
107,Good Guys Electronics
108,outletmp3
109,6Ave Express LLC
110,Always.Deals
111,cttax
112,jonrod_b49gih
113,Newegg
114,Give 5 To Cancer// Inc
115,eLGeo Electronics
116,ListenUp
117,Electronics Expo (Authorized Dealer)
118,World Wide Stereo
119,SaveTronix
120,AV Toy Store
121,Video & Audio Center
122,VMInnovations
123,meiyaps
124,echo-and-optics
125,Clover Hill
126,dwi-international-8
127,umpquablue
128,Advanced Gadget Inc.
129,electronic_express
130,Simple Cell Inc
131,Tech2Date
132,sqellc
133,XOTIC PC
134,Triplenet Pricing
135,HiLoPlace
136,Moda Bella
137,TEKENVY - Walmart.com
138,pcRUSH - Walmart.com
139,TELeasy
140,HONESTDEALS
141,iSave - Walmart.com
142,newopenbox
143,nps
144,ejuky
145,legendmicro-wholesale
146,less.4.more
147,Rover Store// Inc.
148,West Coast Limited
149,Coldriver20 Electronics Inc
150,Acer Recertified
151,tanyastreasuries
152,dinsdale-usa
153,beyondtechnology
154,SCONTROLC
155,superdealunlimited
156,hanabeauty10
157,SaveCentral// LLC
158,great_retailers
159,us2014_bacho
160,felixg7488
161,photovideo4less
162,alex_the_terrible
163,ONE STOP SHOP
164,DiscountCentralOnline
165,happychicken-com
166,Audiolab Stereo & Video Center
167,TEKONLINE
168,Marine Discount Center// LLC
169,best_buy
170,Always In Touch
171,electric-flight-sales
172,platinummicro
173,compucell.tech
174,anjcloseouts
175,MegaWatts
176,CopyThat!
177,tech1store
178,e-shopsave
179,eternalphoto
180,Incredible Cellular LLC
181,john-6807
182,JBMO Sales
183,True Modern Electronics
184,AUDIO WATT STORE
185,bensdealz7
186,dwgreatdeals
187,Dell.com
