product_id,product_name,brand,manufacturerNumber,merchant_id
1,Sanus VLF410B1 10-Inch Super Slim Full-Motion Mount for 37 - 84 Inches TV's,Sanus,VLF410B1,1
2,Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,Boytone,BT-210F,2
2,Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,Boytone,BT-210F,1
2,Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,Boytone,BT-210F,3
3,DENAQ - AC Adapter for TOSHIBA SATELLITE 1700 1710 1715 1730 1735 1750 1755 1955 3000 3005 A100 M30X M35X - Black,DENAQ,DQ-PA3032U-5525,1
3,DENAQ - AC Adapter for TOSHIBA SATELLITE 1700 1710 1715 1730 1735 1750 1755 1955 3000 3005 A100 M30X M35X - Black,DENAQ,DQ-PA3032U-5525,4
4,DreamWave - Tremor Portable Bluetooth Speaker - Green//Black,DreamWave,TREMOR,1
5,NS-SP1800BL 5.1-Channel Home Theater System (Black),Yamaha,NSSP1800BL,5
5,NS-SP1800BL 5.1-Channel Home Theater System (Black),Yamaha,NSSP1800BL,1
5,NS-SP1800BL 5.1-Channel Home Theater System (Black),Yamaha,NSSP1800BL,6
6,Universal Remote Control - 48-Device Universal Remote - Black,Universal Remote Control,X-7,1
7,Acoustimass 6 Series V Home Theater Speaker System (Black),Bose,7209601100,6
7,Acoustimass 6 Series V Home Theater Speaker System (Black),Bose,7209601100,1
7,Acoustimass 6 Series V Home Theater Speaker System (Black),Bose,7209601100,7
8,Samsung - 850 PRO 512GB Internal SATA III Solid State Drive for Laptops,Samsung,MZ-7KE512BW,1
9,Corsair Vengeance LPX 16GB (2x8GB) DDR4 DRAM 3000MHz C15 Desktop Memory Kit - Black (CMK16GX4M2B3000C15),Corsair,CMK16GX4M2B3000C15,1
9,Corsair Vengeance LPX 16GB (2x8GB) DDR4 DRAM 3000MHz C15 Desktop Memory Kit - Black (CMK16GX4M2B3000C15),Corsair,CMK16GX4M2B3000C15,8
9,Corsair Vengeance LPX 16GB (2x8GB) DDR4 DRAM 3000MHz C15 Desktop Memory Kit - Black (CMK16GX4M2B3000C15),Corsair,CMK16GX4M2B3000C15,9
10,Outdoor Tech Buckshot Pro Bluetooth Speaker,Outdoor Tech,OT1351-GR,1
11,Motorola Wi-Fi Pet Video Camera,Motorola,SCOUT66,10
11,Motorola Wi-Fi Pet Video Camera,Motorola,SCOUT66,1
12,Details About Samsung Gear Iconx 2018 Edition Cordfree Fitness Earbuds Black (us Version),Samsung,SM-R140NZKAXAR,1
12,Details About Samsung Gear Iconx 2018 Edition Cordfree Fitness Earbuds Black (us Version),Samsung,SM-R140NZKAXAR,6
12,Details About Samsung Gear Iconx 2018 Edition Cordfree Fitness Earbuds Black (us Version),Samsung,SM-R140NZKAXAR,2
12,Details About Samsung Gear Iconx 2018 Edition Cordfree Fitness Earbuds Black (us Version),Samsung,SM-R140NZKAXAR,11
13,2TB Red 5400 rpm SATA III 3.5 Internal NAS HDD,WD,WD20EFRX,12
13,2TB Red 5400 rpm SATA III 3.5 Internal NAS HDD,WD,WD20EFRX,13
13,2TB Red 5400 rpm SATA III 3.5 Internal NAS HDD,WD,WD20EFRX,6
13,2TB Red 5400 rpm SATA III 3.5 Internal NAS HDD,WD,WD20EFRX,14
13,2TB Red 5400 rpm SATA III 3.5 Internal NAS HDD,WD,WD20EFRX,1
14,Details About Panamax Mr4000 8outlets Surge Protector Home Theater Power Line Management,Panamax,MR4000,15
14,Details About Panamax Mr4000 8outlets Surge Protector Home Theater Power Line Management,Panamax,MR4000,1
14,Details About Panamax Mr4000 8outlets Surge Protector Home Theater Power Line Management,Panamax,MR4000,16
15,"Details About Alpine 480w 6.5 2way Typee Coaxial Car Speakers W/ Silk Tweeters | Spe6000""",Alpine,SPE-6000,17
15,"Details About Alpine 480w 6.5 2way Typee Coaxial Car Speakers W/ Silk Tweeters | Spe6000""",Alpine,SPE-6000,18
15,"Details About Alpine 480w 6.5 2way Typee Coaxial Car Speakers W/ Silk Tweeters | Spe6000""",Alpine,SPE-6000,19
15,"Details About Alpine 480w 6.5 2way Typee Coaxial Car Speakers W/ Silk Tweeters | Spe6000""",Alpine,SPE-6000,1
15,"Details About Alpine 480w 6.5 2way Typee Coaxial Car Speakers W/ Silk Tweeters | Spe6000""",Alpine,SPE-6000,20
16,Transcend - JetDrive 420 480GB Internal Serial ATA III Solid State Drive for Select Apple?? Computers,Transcend,TS480GJDM420,1
16,Transcend - JetDrive 420 480GB Internal Serial ATA III Solid State Drive for Select Apple?? Computers,Transcend,TS480GJDM420,6
17,Samsung Universal 3100mAh Portable External Battery Charger - White,Samsung,EB-P310SIWESTA,1
17,Samsung Universal 3100mAh Portable External Battery Charger - White,Samsung,EB-P310SIWESTA,21
18,Air-Fi Runaway AF32 Stereo Bluetooth Wireless Headphones with Hidden Microphone (Black and Red),MEE audio,HP-AF32-RB-MEE,6
18,Air-Fi Runaway AF32 Stereo Bluetooth Wireless Headphones with Hidden Microphone (Black and Red),MEE audio,HP-AF32-RB-MEE,1
18,Air-Fi Runaway AF32 Stereo Bluetooth Wireless Headphones with Hidden Microphone (Black and Red),MEE audio,HP-AF32-RB-MEE,22
19,"SpeakerCraft - 6-1/2 In-Ceiling Speakers (5-Pack) - White""",SpeakerCraft,ASM86601-5,1
20,Peerless - Round Ceiling Plate for Most Peerless-AV Projector Mounts - Black,Peerless,ACC570,1
20,Peerless - Round Ceiling Plate for Most Peerless-AV Projector Mounts - Black,Peerless,ACC570,8
20,Peerless - Round Ceiling Plate for Most Peerless-AV Projector Mounts - Black,Peerless,ACC570,6
21,"Kenwood KFC-1653MRW 6.5 2-way Marine Speakers Pair (White)""",Kenwood,KFC-1653MRW,2
21,"Kenwood KFC-1653MRW 6.5 2-way Marine Speakers Pair (White)""",Kenwood,KFC-1653MRW,23
21,"Kenwood KFC-1653MRW 6.5 2-way Marine Speakers Pair (White)""",Kenwood,KFC-1653MRW,24
21,"Kenwood KFC-1653MRW 6.5 2-way Marine Speakers Pair (White)""",Kenwood,KFC-1653MRW,1
21,"Kenwood KFC-1653MRW 6.5 2-way Marine Speakers Pair (White)""",Kenwood,KFC-1653MRW,25
22,Panamax - 11-Outlet Surge Protector - Black,Panamax,MR5100,26
22,Panamax - 11-Outlet Surge Protector - Black,Panamax,MR5100,1
23,Microsoft Surface Pro 4 Type Cover with Fingerprint ID,Microsoft,RH7-00001,27
23,Microsoft Surface Pro 4 Type Cover with Fingerprint ID,Microsoft,RH7-00001,1
23,Microsoft Surface Pro 4 Type Cover with Fingerprint ID,Microsoft,RH7-00001,2
23,Microsoft Surface Pro 4 Type Cover with Fingerprint ID,Microsoft,RH7-00001,6
23,Microsoft Surface Pro 4 Type Cover with Fingerprint ID,Microsoft,RH7-00001,28
23,Microsoft Surface Pro 4 Type Cover with Fingerprint ID,Microsoft,RH7-00001,29
24,Ultimate Ears MEGABLAST Portable Wi-Fi/Bluetooth Speaker with hands-free Amazon Alexa voice control (waterproof) - Graphite Black,Ultimate Ears,984-000911,1
25,Niles - SS-4 4-Pair Speaker Selector - Black,Niles,SS-4,1
26,"SpeakerCraft - Profile CRS6 Two 6-1/2 In-Ceiling Speaker (Each) - Black""",SpeakerCraft,ASM56602,1
27,CORSAIR VENGEANCE RGB 16GB (2x8GB) DDR4 3200MHz C16 Desktop Memory - Black,Corsair,CMR16GX4M2C3200C16,1
28,DENAQ - AC Power Adapter and Charger for Select HP Omnibook// Pavilion and Presario Laptops - Black,DENAQ,DQ-F4600A-5525,30
28,DENAQ - AC Power Adapter and Charger for Select HP Omnibook// Pavilion and Presario Laptops - Black,DENAQ,DQ-F4600A-5525,1
28,DENAQ - AC Power Adapter and Charger for Select HP Omnibook// Pavilion and Presario Laptops - Black,DENAQ,DQ-F4600A-5525,4
29,SlideLITE Camera Strap SLL-1 (Black),Peak Design,SLL-1,31
29,SlideLITE Camera Strap SLL-1 (Black),Peak Design,SLL-1,6
29,SlideLITE Camera Strap SLL-1 (Black),Peak Design,SLL-1,32
29,SlideLITE Camera Strap SLL-1 (Black),Peak Design,SLL-1,33
29,SlideLITE Camera Strap SLL-1 (Black),Peak Design,SLL-1,1
30,Flipside 300 Backpack (Black),Lowepro,LP35185,6
30,Flipside 300 Backpack (Black),Lowepro,LP35185,1
30,Flipside 300 Backpack (Black),Lowepro,LP35185,2
30,Flipside 300 Backpack (Black),Lowepro,LP35185,34
31,"Samsung - 50 Class (49.5"" Diag.) - LED - 1080p - Smart - HDTV""",Samsung,UN50M5300FXZA,1
31,"Samsung - 50 Class (49.5"" Diag.) - LED - 1080p - Smart - HDTV""",Samsung,UN50M5300FXZA,2
31,"Samsung - 50 Class (49.5"" Diag.) - LED - 1080p - Smart - HDTV""",Samsung,UN50M5300FXZA,6
31,"Samsung - 50 Class (49.5"" Diag.) - LED - 1080p - Smart - HDTV""",Samsung,UN50M5300FXZA,35
31,"Samsung - 50 Class (49.5"" Diag.) - LED - 1080p - Smart - HDTV""",Samsung,UN50M5300FXZA,36
32,iHome Rechargeable Splash Proof Stereo Bluetooth Speaker - Black (IBT33BC),Sdi Technologies// Inc.,IBT33BC,2
32,iHome Rechargeable Splash Proof Stereo Bluetooth Speaker - Black (IBT33BC),Sdi Technologies// Inc.,IBT33BC,1
32,iHome Rechargeable Splash Proof Stereo Bluetooth Speaker - Black (IBT33BC),Sdi Technologies// Inc.,IBT33BC,37
32,iHome Rechargeable Splash Proof Stereo Bluetooth Speaker - Black (IBT33BC),Sdi Technologies// Inc.,IBT33BC,27
33,520,Polk Audio,110,1
34,Apple - Pre-Owned iPad 3 - 64GB - Black,Apple,MC707LL/A,1
35,Corsair CMSA8GX3M2A1066C7 Apple 8 GB Dual Channel Kit DDR3 1066 (PC3 8500) 204-Pin DDR3 Laptop SO-DIMM Memory 1.5V,Corsair,CMSA8GX3M2A1066C7,38
35,Corsair CMSA8GX3M2A1066C7 Apple 8 GB Dual Channel Kit DDR3 1066 (PC3 8500) 204-Pin DDR3 Laptop SO-DIMM Memory 1.5V,Corsair,CMSA8GX3M2A1066C7,39
35,Corsair CMSA8GX3M2A1066C7 Apple 8 GB Dual Channel Kit DDR3 1066 (PC3 8500) 204-Pin DDR3 Laptop SO-DIMM Memory 1.5V,Corsair,CMSA8GX3M2A1066C7,40
35,Corsair CMSA8GX3M2A1066C7 Apple 8 GB Dual Channel Kit DDR3 1066 (PC3 8500) 204-Pin DDR3 Laptop SO-DIMM Memory 1.5V,Corsair,CMSA8GX3M2A1066C7,1
36,ST640P Universal Tilt Wall Mount for 32 to 50 Displays,Peerless-AV,ST640P,6
36,ST640P Universal Tilt Wall Mount for 32 to 50 Displays,Peerless-AV,ST640P,1
37,Virtually Invisible 891 In-Wall Speakers (Pair),Bose,742896-0200,1
37,Virtually Invisible 891 In-Wall Speakers (Pair),Bose,742896-0200,6
38,AVR-X1400H 7.2-Channel Network A/V Receiver,Denon,AVRX1400H,41
38,AVR-X1400H 7.2-Channel Network A/V Receiver,Denon,AVRX1400H,6
38,AVR-X1400H 7.2-Channel Network A/V Receiver,Denon,AVRX1400H,1
39,DENAQ - AC Power Adapter and Charger for Select Toshiba Satellite and Satellite Pro Laptops - Black,DENAQ,DQ-PA3290U-5525,1
39,DENAQ - AC Power Adapter and Charger for Select Toshiba Satellite and Satellite Pro Laptops - Black,DENAQ,DQ-PA3290U-5525,2
39,DENAQ - AC Power Adapter and Charger for Select Toshiba Satellite and Satellite Pro Laptops - Black,DENAQ,DQ-PA3290U-5525,42
40,Lenovo - AC Adapter for Select Lenovo Yoga Laptops - Black,Lenovo,45W SLIM AC ADAPTER - 88801419,1
41,"Elite Screens - Spectrum Series 110 Motorized Projector Screen - Black""",Elite Screens,ELECTRIC110H,43
41,"Elite Screens - Spectrum Series 110 Motorized Projector Screen - Black""",Elite Screens,ELECTRIC110H,1
41,"Elite Screens - Spectrum Series 110 Motorized Projector Screen - Black""",Elite Screens,ELECTRIC110H,6
41,"Elite Screens - Spectrum Series 110 Motorized Projector Screen - Black""",Elite Screens,ELECTRIC110H,10
42,Sony - SRS-XB21 Portable Bluetooth Speaker - Black,Sony,SRSXB21/B,6
42,Sony - SRS-XB21 Portable Bluetooth Speaker - Black,Sony,SRSXB21/B,1
43,"Russound - Acclaim 5 Series 6-1/2 Indoor/Outdoor Speaker (Each) - White""",Russound,5b65s White,36
43,"Russound - Acclaim 5 Series 6-1/2 Indoor/Outdoor Speaker (Each) - White""",Russound,5b65s White,44
43,"Russound - Acclaim 5 Series 6-1/2 Indoor/Outdoor Speaker (Each) - White""",Russound,5b65s White,1
43,"Russound - Acclaim 5 Series 6-1/2 Indoor/Outdoor Speaker (Each) - White""",Russound,5b65s White,45
43,"Russound - Acclaim 5 Series 6-1/2 Indoor/Outdoor Speaker (Each) - White""",Russound,5b65s White,46
44,SB-2000 12 500W Subwoofer (Piano Gloss Black),SVS,SB-2000-PIANO GLOSS,6
44,SB-2000 12 500W Subwoofer (Piano Gloss Black),SVS,SB-2000-PIANO GLOSS,1
45,"Kenwood - Road Series 6 x 8"" 2-Way Car Speakers with Paper Woofer Cones (Pair) - Black""",Kenwood,KFC-C6865R,1
46,"Hisense - 55 Class - LED - H9 Series - 2160p - Smart - 4K UHD TV with HDR""",Hisense,55H9D PLUS,1
46,"Hisense - 55 Class - LED - H9 Series - 2160p - Smart - 4K UHD TV with HDR""",Hisense,55H9D PLUS,47
47,4TB Red 5400 rpm SATA III 3.5 Internal NAS HDD Retail Kit,WD,WDBMMA0040HNC-NRSN,1
47,4TB Red 5400 rpm SATA III 3.5 Internal NAS HDD Retail Kit,WD,WDBMMA0040HNC-NRSN,6
48,House of Marley Smile Jamaica In-Ear Earbuds,House of Marley,EM-JE041-MI,2
48,House of Marley Smile Jamaica In-Ear Earbuds,House of Marley,EM-JE041-MI,1
49,Details About Midland Wr120c Noaa Weather Alert Radio,Midland,WR120C,10
49,Details About Midland Wr120c Noaa Weather Alert Radio,Midland,WR120C,1
49,Details About Midland Wr120c Noaa Weather Alert Radio,Midland,WR120C,2
49,Details About Midland Wr120c Noaa Weather Alert Radio,Midland,WR120C,48
49,Details About Midland Wr120c Noaa Weather Alert Radio,Midland,WR120C,49
49,Details About Midland Wr120c Noaa Weather Alert Radio,Midland,WR120C,50
50,Marantz - 1400W 7.2-Ch. 4K Ultra HD and 3D Pass-Through A/V Home Theater Receiver - Black,Marantz,MARANTZ SR5010,1
51,JVC KD-X320BTS Apple iPod and Android Digital Media Receiver with Bluetooth,JVC,KDX320BTS,51
52,iSimple ISBC01 BluClik Bluetooth Remote Control with Steering Wheel and Dash Mounts,iSimple,ISBC01,2
52,iSimple ISBC01 BluClik Bluetooth Remote Control with Steering Wheel and Dash Mounts,iSimple,ISBC01,52
52,iSimple ISBC01 BluClik Bluetooth Remote Control with Steering Wheel and Dash Mounts,iSimple,ISBC01,19
52,iSimple ISBC01 BluClik Bluetooth Remote Control with Steering Wheel and Dash Mounts,iSimple,ISBC01,1
53,Chief PDRUB Wall Mount for Flat Panel Display 42-71,Chief,PDRUB,6
53,Chief PDRUB Wall Mount for Flat Panel Display 42-71,Chief,PDRUB,1
54,PS200 A/V Component Shelf,Peerless-AV,PS200,2
54,PS200 A/V Component Shelf,Peerless-AV,PS200,1
54,PS200 A/V Component Shelf,Peerless-AV,PS200,6
55,Turtle Beach Ear Force Recon 320 7.1 Surround Sound Gaming Headset Pc Refurb,Turtle Beach,TBS-6035-01,53
55,Turtle Beach Ear Force Recon 320 7.1 Surround Sound Gaming Headset Pc Refurb,Turtle Beach,TBS-6035-01,54
56,AudioQuest - Golden Gate 9.8' RCA-to-RCA Audio Cable - Black/Red,AudioQuest,GOLDG03R,1
57,Panamax - 2-Outlet Surge Protector - White,Panamax,MFP-300,1
58,Toshiba - 3TB Internal Serial ATA III Hard Drive for Desktops,Toshiba,PH3300U-1I72,1
59,Logitech - G560 LIGHTSYNC 2.1 Bluetooth Gaming Speakers with Game Driven RGB Lighting (3-Piece) - Black,Logitech,980-001300,1
60,Yamaha WX-030BL MusicCast Wireless Speaker with Wi-Fi and Bluetooth (Black),Yamaha,WX-030BL,6
60,Yamaha WX-030BL MusicCast Wireless Speaker with Wi-Fi and Bluetooth (Black),Yamaha,WX-030BL,1
61,SiriusXM SXEZR1V1 XM Onyx EZR Satellite Radio Receiver with Vehicle Kit,Siriusxm,SXEZR1V1,1
61,SiriusXM SXEZR1V1 XM Onyx EZR Satellite Radio Receiver with Vehicle Kit,Siriusxm,SXEZR1V1,55
61,SiriusXM SXEZR1V1 XM Onyx EZR Satellite Radio Receiver with Vehicle Kit,Siriusxm,SXEZR1V1,2
62,Details About *brand New* Pny Anarchy 16gb Kit (2x8gb) Ddr4 2400mhz Pc419200 Desktop Memory,Pny,MD16GK2D4240015AB,56
62,Details About *brand New* Pny Anarchy 16gb Kit (2x8gb) Ddr4 2400mhz Pc419200 Desktop Memory,Pny,MD16GK2D4240015AB,1
63,"JBL - 6 x 8"" 2-Way Coaxial Car Speakers with Polypropylene Cones (Pair) - Black""",JBL,GX862,1
64,"Details About Samsung 24 Class Hd (720p) Smart Led Tv (un24m4500)""",Samsung,UN24M4500AFXZA,2
64,"Details About Samsung 24 Class Hd (720p) Smart Led Tv (un24m4500)""",Samsung,UN24M4500AFXZA,6
64,"Details About Samsung 24 Class Hd (720p) Smart Led Tv (un24m4500)""",Samsung,UN24M4500AFXZA,36
64,"Details About Samsung 24 Class Hd (720p) Smart Led Tv (un24m4500)""",Samsung,UN24M4500AFXZA,1
64,"Details About Samsung 24 Class Hd (720p) Smart Led Tv (un24m4500)""",Samsung,UN24M4500AFXZA,57
64,"Details About Samsung 24 Class Hd (720p) Smart Led Tv (un24m4500)""",Samsung,UN24M4500AFXZA,58
65,WI-SP500 Wireless In-Ear Sports Headphones (Black),Sony,WISP500/B,6
